Care este poziția fundamentală specifică omului?;Poziția așezat;Poziția pe genunchi;Poziția stând;C  
După V. Horghidan, aptitudinea exprimă:;O însușire fizică sau psihofizică ce permite obținerea de rezultate supramedi;Doar o caracteristică ereditară;Un parametru exterior al corpului;A  
Un individ cu aptitudine motrică are:;Dificultăți evidente în progresul motric;Un potențial redus de învățare;Posibilitatea de a obține rezultate superioare nivelului mediu;C  
Calitatea motrică desemnează:;Posibilitatea de a efectua mișcări cu indici de viteză, forță, coordonare, rezistență, mobilitate;Exclusiv coordonarea și mobilitatea;O abilitate înnăscută care nu se poate dezvolta;A  
Care dintre următoarele reprezintă o calitate motrică de bază?;Timpul de reacție;Coordonarea segmentară;Viteza;C  
Nivelul calității motrice este:;Strict identic la toți indivizii;Variază de la individ la individ;Imposibil de evaluat;B  
Când nivelul unei calități motrice depășește mult media, putem vorbi de:;Aptitudine;Stagnare;Regres;A  
Un exemplu de calitate motrică de bază este:;Puterea de concentrare;Viteza și mobilitatea;Gradul de motivare;B  
Performanța motrică este:;Rezultatul întâmplător al unui act motric;Expresia capacității motrice la un moment dat, evaluabilă după norme și criterii;Doar o manifestare estetică;B  
Performanța motrică nu trebuie confundată cu:;Performanța sportivă, care exprimă îndeplinirea unei sarcini la cote foarte înalte;Calitățile motrice de bază;Capacitatea de învățare;A  
Potrivit lui M. Epuran, performanța presupune:;O sumă de acte motrice simple;Un sistem de procese fizice sau psihofizice organizate original pentru rezultate înalte;Doar manifestarea forței;B  
Performanța motrică este condiționată de:;Întâmplare și spontaneitate;Nivelul capacității motrice și al aptitudinilor;Exclusiv condiția genetică;B  
În educația fizică și sport, performanța exprimă:;Doar participarea la activitate;Măiestria și îndeplinirea sarcinii la cote înalte;Rezultate aleatorii;B  
Sfera independenței funcționale cuprinde:;Doar deprinderi sportive;Acțiuni care vizează deplasarea, îngrijirea personală, activități casnice și profesionale;Exclusiv efort fizic intens;B  
Scopul activităților de independență funcțională este:;Reducerea completă a mobilității;Menținerea autonomiei în viața cotidiană;Creșterea dependenței de familie;B  
Aceste activități se adresează:;Exclusiv sportivilor;Persoanelor cu afecțiuni, traumatisme sau vârstnicilor care au pierdut parțial capacitatea de mișcare;Doar copiilor;B  
Un exemplu concret de deprindere vizată în sfera independenței funcționale este:;Aruncarea mingii;Deplasarea cu mijloace de transport;Săriturile de performanță;B  
În domeniul sănătății, exersarea sistematică are rolul de a:;Reduce capacitatea funcțională;Întreține și îmbunătăți starea biologică și funcțională a organismului;Obosi organismul constant;B  
Efortul fizic poate fi definit ca:;Proces de mobilizare a forțelor pentru depășirea unui obstacol;Simplă mișcare de rutină;O stare pasivă a organismului;A  
Din perspectivă biologică, efortul reprezintă:;Un factor predominant biologic ce obligă organismul la manifestări adaptative;O relaxare completă a mușchilor;Doar o mișcare estetică;A  
În teoria antrenamentului, efortul este:;O stare de repaus;Un proces de învingere conștientă a solicitărilor pentru atingerea unui bun nivel de pregătire;Doar o acțiune mecanică;B  
Parametrul volumului în efortul fizic se referă la:;Timpul de somn;Cantitatea totală de muncă mecanică (repetări, distanțe, timp de lucru);Intensitatea contracției musculare;B  
Intensitatea efortului se exprimă ca:;Timp de odihnă;Cantitatea de lucru mecanic pe unitatea de timp, reflectând "tăria excitației";Nivel de hidratare;B  
Învățarea motrică este definită ca:;Un proces de dobândire a capacității de a executa mișcări eficiente prin exersare și experiență;Învățarea teoretică exclusivă;Un proces strict pasiv;A  
Una dintre zonele în care operează învățarea motrică este:;Zona de identificare a stimulilor;Zona de relaxare completă;Zona de percepție auditivă;A  
Zona de programare a răspunsurilor presupune:;Întărirea comportamentelor negative;Îmbunătățirea parametrilor motorii și a programului motor general;Eliminarea reflexelor;B  
În cadrul învățării motrice inteligente, sportivul:;Aplică rețete fixe și rigide;Caută permanent soluții optime prin ajustarea parametrilor motori;Execută mișcările la întâmplare;B  
În învățarea motrică, teoria buclei închise presupune:;Ignorarea senzațiilor kinestezice;Exersare activă, memorarea senzațiilor și ajustarea mișcării prin feedback;Executarea mecanică fără implicare;B  
Programul motor este:;O schemă variabilă a poziției trunchiului;O structură internă, organizată ierarhic, responsabilă de producerea mișcării;Un ansamblu de mișcări automate;B  
În teoria lui Schmidt, programul motor general permite:;Executarea mecanică, identică a mișcărilor;Parametrizarea variabilă a mișcării în funcție de acțiunea concretă;Blocarea flexibilității motorii;B  
Parametrii care se atașează programului motor sunt:;Durata, forța contracției, direcția, amplitudinea mișcării;Doar viteza și amplitudinea;Timpul de reacție și echilibrul;A  
La fiecare repetare a unei mișcări, subiectul:;Execută acțiunea identic;Aplică reguli proprii prin care ajustează parametrii;Pierde capacitatea de adaptare;B  
Memoria implicată în programarea mișcării include:;Doar senzațiile kinestezice;Memoria amintirii și memoria recunoașterii;Exclusiv memoria de scurtă durată;B  
Curba exersării reprezintă:;Evoluția grafică a rezultatelor obținute prin evaluarea unui element învățat;Timpul de recuperare după efort;Un grafic al dezvoltării musculare;A  
Axa verticală a curbei exersării indică:;Timpul;Nivelul performanței;Numărul de repetări;B  
Axa orizontală a curbei exersării indică:;Nivelul de dificultate;Timpul în care este evaluată performanța;Gradul de solicitare musculară;B  
Curba exersării permite:;Observarea progresului sau stagnării în procesul de învățare;Doar evaluarea finală a competențelor;Ignorarea variațiilor individuale;A  
Caracteristica esențială a curbei exersării este:;Evidențierea unui progres constant și uniform;Reflectarea etapizată și variabilă a progresului;Lipsa oricărei legături cu performanța;B  
Educabilitatea motrică desemnează:;Capacitatea de a învăța corect și rapid sarcini variate;Tendința spre efort minim;Doar achiziția spontană a mișcărilor;A  
Subiecții cu educabilitate motrică scăzută:;Însușesc rapid deprinderile;Întâmpină dificultăți în învățarea unor acțiuni simple;Au performanțe supramediu;B  
Intervalul optim de educabilitate este:;O perioadă din viață în care învățarea motrică produce efecte vizibile și durabile;Faza terminală a procesului de maturizare;Perioada de stagnare a învățării;A  
După încheierea intervalului optim de educabilitate:;Învățarea motrică devine imposibilă;Achiziția motrică este mai dificilă și mai puțin eficientă;Aptitudinile cresc automat;B  
Consensul dintre factorii genetici și cei de mediu se manifestă:;Doar la vârsta adultă;În intervalul optim de educabilitate;În absența oricărui antrenament;B  
Unul dintre tipurile de informații reținute de subiect este:;Date despre condițiile inițiale ale exersării (poziții, greutate, formă);Exclusiv senzațiile tactile;Doar durata totală a efortului;A  
Parametrii mișcării pe care subiectul îi reține includ:;Timpul de reacție și echilibrul;Durata, forța, amplitudinea, direcția;Numărul total de repetări;B  
Senzațiile resimțite în timpul exersării contribuie la:;Formarea senzației ideale și ajustarea execuției;Scăderea capacității motorii;Excluderea feedback-ului;A  
Memoria recunoașterii are rolul de a:;Detecta greșelile în execuție prin informații senzoriale de tip feedback;Bloca învățarea automată;Conserva rigiditatea mișcărilor;A  
În procesul de învățare, combinația dintre amintirea mișcării și recunoașterea execuției asigură:;Învățarea pasivă;Achiziția de soluții motrice optime;Doar reacții reflexe;B  
În kinesiologie, conceptele științifice sunt importante deoarece:;Asigură doar o denumire estetică;Permit impunerea unui limbaj și a unei structuri logice proprii științei;Sunt opționale în practica profesională;B  
Situația sociomotrică implică:;Izolarea completă a individului;Prezența interacțiunilor și a comunicării practice cu partenerii și adversarii;Doar execuții motrice individuale;B  
Etnomotricitatea reflectă:;Doar antrenamentele moderne;Practicile motrice dezvoltate în funcție de cultură și mediu social;Exclusiv sporturile olimpice;B  
Sarcina motrică este definită ca:;O acțiune liber aleasă;Un ansamblu de condiții materiale și constrângeri ce definesc obiectivul acțiunii;O simplă mișcare reflexă;B  
Comportamentul motric poate fi observat prin:;Înregistrarea mișcărilor, filmare, analiza traiectoriilor și a interacțiunilor;Doar prin senzații subiective;Exclusiv prin testare psihologică;A  
Conduita motrică exprimă:;Latura interioară, subiectivă a comportamentului motric;Doar partea vizibilă a mișcării;Un gest pur mecanic;A  
Motricitatea înseamnă:;Doar o reacție la un stimul extern;Schimbarea poziției corpului în spațiu, în raport cu reperele fixe;O stare permanentă de imobilitate;B  
Actul motric reprezintă:;Un gest abstract, nefuncțional;Elementul de bază al oricărei mișcări, realizat în scop adaptativ;Exclusiv o mișcare reflexă;B  
Acțiunea motrică presupune:;O integrare a factorilor cinematici, energetici și cognitivi;Mișcări complet întâmplătoare;Doar contractarea unui mușchi;A  
Activitatea motrică este:;Un sistem organizat de acte și acțiuni motrice, articulate ierarhic;Un ansamblu de mișcări involuntare;O succesiune de gesturi disparate;A  
În cadrul activităților motrice, elementul fundamental este:;Mișcarea necontrolată;Actul motric, integrat sau nu într-o acțiune complexă;Un set de gesturi reflexe;B  
Capacitatea motrică poate fi înțeleasă ca:;O simplă moștenire genetică;Un complex de manifestări morfofuncționale și psihice corelate;Doar condiția fizică a individului;B  
Termenul de fitness în sens corect desemnează:;O stare de bine funcțională și psihologică, nu doar o ramură competițională;Exclusiv antrenamentele de forță;Doar o modă de moment;A  
Aptitudinea motrică este importantă deoarece:;Nu influențează performanța;Este un substrat al capacității motrice, care favorizează progresul și performanța;Se referă doar la mobilitate;B  
Calitatea motrică se exprimă prin:;Niveluri diferite ale unor însușiri universale precum viteza, forța, coordonarea, rezistența și mobilitatea;Exclusiv prin forța musculară;O trăsătură care nu se poate dezvolta;A  
Performanța motrică se diferențiază de performanța sportivă prin faptul că:;Este o expresie curentă a capacității motrice, nu neapărat un rezultat de excepție;Exprimă doar depășirea recordurilor;Este echivalentă cu rezultatul final;A  
Independența funcțională se referă la:;Executarea zilnică a sarcinilor fără ajutor exterior;Participarea la competiții sportive;Controlul exclusiv asupra funcțiilor fiziologice;A  
Efortul fizic este definit ca:;O stare de repaus prelungit;Un stimul adaptativ complex ce produce modificări funcționale și structurale;O simplă deplasare a corpului;B  
Volumul efortului se exprimă prin:;Timpul de lucru, distanțele parcurse, greutățile manipulate;Exclusiv prin viteza execuției;Numărul total de greșeli;A  
Învățarea motrică presupune:;Dobândirea unor deprinderi prin exersare, experiență și adaptare activă;Imitarea pasivă a unui model;Exclusiv automatizarea mișcărilor;A  
Motricitatea se manifestă în principal prin:;Procese cognitive;Activități de deplasare sau poziționare a corpului în spațiu;Stări emoționale;B  
Situațiile motrice implică:;Un ansamblu de condiții externe și interne care influențează acțiunea motrică;Doar executarea mișcărilor reflexe;Exclusiv factori genetici;A  
Datele obiective ale situației motrice pot include:;Forma, dimensiunile și caracteristicile spațiului;Motivația personală;Preferințele estetice;A  
Datele subiective ale situației motrice sunt legate de:;Structura terenului de joc;Percepțiile, anticipările și conduita individului;Forma obiectelor utilizate;B  
Sarcina motrică are rolul de a:;Orienta acțiunea și a determina comportamentul motric;Blocarea inițiativei individuale;Încetini procesul de învățare;A  
Comportamentul motric include:;Doar activități conștiente;Ansamblul activităților motrice observabile, voluntare sau involuntare;Exclusiv răspunsuri reflexe;B  
Conduita motrică reprezintă:;Latura subiectivă a comportamentului motric;Doar mișcările automate;O simplă activitate de relaxare;A  
Actul motric este:;O mișcare fără scop;Un element al activității motrice cu finalitate adaptativă;Exclusiv un răspuns automat;B  
Acțiunea motrică presupune:;Executarea mecanică a unor mișcări;Integrarea coordonată a actelor motrice într-un scop clar;Exercitarea presiunii externe;B  
Activitatea motrică are următoarea caracteristică:;Organizare ierarhică a actelor și acțiunilor motrice;Lipsa oricărei structuri;Este complet aleatorie;A  
Capacitatea motrică se manifestă prin:;Răspunsuri involuntare;Calități și aptitudini ce permit adaptarea la cerințele motrice;Doar trăsături ereditare;B  
Aptitudinea motrică diferă de capacitatea motrică prin faptul că:;Este un potențial preexistent, în timp ce capacitatea se exprimă prin manifestare concretă;Nu are legătură cu performanța;Se dezvoltă doar în sportul de performanță;A  
Calitățile motrice de bază includ:;Viteza, forța, rezistența, coordonarea, mobilitatea;Exclusiv coordonarea;Doar abilitățile cognitive;A  
Fitness-ul poate fi înțeles corect ca:;Stare de bine care permite desfășurarea activităților zilnice și reduce riscul de îmbolnăvire;Doar exerciții de forță;Un concept exclusiv estetic;A  
Performanța motrică este influențată de:;Capacitatea motrică și aptitudinile specifice;Exclusiv de factorii genetici;Lipsa experienței;A  
Independența funcțională presupune:;Executarea acțiunilor zilnice fără ajutor din exterior;Doar participarea la sport de performanță;Creșterea dependenței de familie;A  
Efortul fizic determină:;Modificări adaptative funcționale și structurale;Scăderea progresivă a capacității organismului;Un efect permanent negativ;A  
Volumul efortului fizic este dat de:;Cantitatea totală de muncă mecanică efectuată;Timpul petrecut în repaus;Numărul de greșeli comise;A  
Învățarea motrică implică:;Exersare activă, adaptare și proces de dobândire a deprinderilor;Învățare pasivă, mecanică;Un proces exclusiv spontan;A  
Curba exersării este utilă pentru:;Monitorizarea progresului și ajustarea procesului de învățare;Evitarea exersării regulate;Încetinirea adaptării motrice;A  
