Deprinderile specifice ramurilor de sport se însușesc în special;În cadrul educației fizice și sportive;La vârsta adultă prin autoînvățare;Doar în antrenamentele de performanță;A
Sfera independenței funcționale include;Doar activități sportive;Doar activități casnice;Toate activitățile care conferă autonomie funcțională;C
Ce rol au specialiștii în kinetoterapie în cazul persoanelor cu deficiențe funcționale?;Oferă asistență și programe pentru recâștigarea deprinderilor de bază;Recomandă exclusiv medicamente;Efectuează doar evaluări psihologice;A
Un exemplu de deprindere funcțională din viața cotidiană este;Participarea la competiții sportive;Mersul și utilizarea mijloacelor de transport;Antrenamentele de forță;B
Pentru menținerea demnității personale, în cazul persoanelor cu deficiențe, este importantă;Dependenta totală de familie;Dezvoltarea deprinderilor independente;Renunțarea la activitățile cotidiene;B
Un exemplu de deprindere casnică este;Alergarea pe distanțe lungi;Curățenia și pregătirea mesei;Participarea la sporturi extreme;B
Mișcarea biologică se referă la;Mișcarea planetelor;Mișcarea corpurilor în spațiu fizic;Mișcarea organismului viu;C
Actul motric poate fi sinonim cu;Elementul de mișcare;Performanța sportivă;Programul de antrenament;A
Acțiunea motrică implică;Un singur gest reflex;Integrarea factorilor cinematici, energetici și cognitivi;Doar percepția senzorială;B
Un exemplu de acțiune motrică ar fi;Mișcare reflexă involuntară;Scrisul ca act repetabil și conștient;Somnul profund;B
Activitatea motrică se caracterizează prin;Un ansamblu de acte și acțiuni motrice organizate;Exclusiv gesturi reflexe;Doar exerciții fizice ocazionale;A
Spre deosebire de acțiune, activitatea motrică are;Durată mai scurtă și caracter simplu;Structură complexă, organizată pe termen lung;Este aleatorie și spontană;B
Capacitatea motrică se referă la;Ansamblul posibilităților motrice naturale și dobândite;Exclusiv la nivelul forței musculare;Doar la aptitudinile sportive înnăscute;A
Un termen apropiat de „capacitate motrică” în limba engleză este;Strength;Flexibility;Fitness;C
Calitatea motrică desemnează;O însușire universală ce poate varia individual;Un rezultat unic și standardizat;Exclusiv rezistența cardiovasculară;A
O persoană cu aptitudine motrică înaltă;Are potențial pentru performanță sportivă ridicată;Nu poate evolua prin antrenament;Prezintă carențe motrice;A
Performanța motrică reprezintă;Efectuarea eficientă a unui act sau acțiuni motrice;Doar participarea la olimpiade;Mișcări reflexe de bază;A
Diferența dintre performanța motrică și performanța sportivă constă în faptul că;Performanța motrică implică doar sportivi profesioniști;Performanța sportivă presupune îndeplinirea unor norme sau criterii stricte;Ambele se referă exclusiv la sport de înalt nivel;B
Kinetologia poate fi definită ca;O ramură a psihologiei generale;Studiul științific al mișcării corpului uman;Teoria forței musculare;B
Studiul biomecanic al mișcării umane implică;Doar analiza posturii;Analiza spatio-temporală și a forțelor implicate în mișcare;Exclusiv antrenamentul de performanță;B
Kinantropometria se ocupă cu;Măsurarea și evaluarea compoziției și proporțiilor corporale;Studiul geneticii umane;Exclusiv diagnosticarea bolilor;A
Un domeniu conex al kinantropometriei este;Chimia organică;Antropologia fizică;Psihologia sportivă;B
Deprinderile specifice ramurilor de sport se dezvoltă preponderent;În cadrul activităților de loisir;Prin instruire sistematică și educație fizică;În lipsa oricărui antrenament;B
Independența funcțională include;Doar mobilitatea în pat;Toate activitățile zilnice care conferă autonomie;Exclusiv activități sportive de performanță;B
Specialistul în kinetoterapie are rolul de a;Învăța persoanele cu deficiențe deprinderile de bază pentru autonomie;Prescrie doar tratament medicamentos;Ignora nevoile funcționale ale pacientului;A
Sfera deprinderilor casnice cuprinde;Doar activități recreative;Activități precum curățenie, cumpărături, pregătirea mesei;Exclusiv participarea la sport de performanță;B
